,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2016-05-09,983.1,-0.9999,0.143,0.77,0.087,975.0,986.0,972.8,3508088.0
2016-05-10,982.55,-1.0,0.171,0.746,0.083,983.1,984.7,978.0,1656840.0
2016-05-11,975.4,-0.9996,0.124,0.784,0.092,971.8,980.75,970.0,2820699.0
2016-05-12,992.8,-0.9993,0.125,0.77,0.105,976.0,994.2,975.05,2922714.0
2016-05-13,978.15,-0.9999,0.152,0.768,0.08,988.95,990.55,975.0,3348353.0
2016-05-16,975.95,-0.9998,0.144,0.752,0.104,977.0,982.5,971.1,2132072.0
2016-05-17,969.15,-0.9998,0.126,0.792,0.082,980.25,983.1,966.35,2779023.0
2016-05-18,970.55,-1.0,0.173,0.74,0.087,965.9,972.5,964.1,1880974.0
2016-05-19,951.2,-0.9999,0.138,0.775,0.087,971.7,971.9,945.6,2088058.0
2016-05-20,934.2,-0.9942,0.119,0.77,0.111,952.0,954.5,931.35,4238988.0
2016-05-23,930.0,-0.9999,0.148,0.757,0.096,937.35,940.7,925.65,4198098.0
2016-05-24,940.45,-0.9998,0.13,0.785,0.085,928.05,944.0,928.05,2807737.0
2016-05-25,951.2,-0.9999,0.147,0.764,0.089,949.85,952.8,941.15,2112135.0
2016-05-26,946.85,-0.9998,0.136,0.771,0.093,950.0,952.4,944.1,3243601.0
2016-05-27,974.7,-0.9997,0.13,0.772,0.098,949.05,976.9,948.75,3063379.0
2016-05-30,968.7,-0.9999,0.148,0.765,0.087,976.4,981.5,965.0,2202091.0
2016-05-31,957.85,-0.9999,0.157,0.757,0.085,969.0,973.0,956.5,5333469.0
2016-06-01,953.6,-0.9999,0.127,0.813,0.06,957.95,966.1,951.8,2067034.0
2016-06-02,956.25,-0.9999,0.149,0.773,0.078,954.5,957.15,945.1,2343852.0
2016-06-03,959.65,-0.9999,0.138,0.772,0.09,960.0,962.9,955.85,1975712.0
2016-06-06,954.8,-0.9999,0.131,0.79,0.078,961.0,963.0,952.55,1982466.0
2016-06-07,955.05,-0.9999,0.138,0.773,0.089,957.25,960.95,951.6,4332627.0
2016-06-08,954.1,-0.9999,0.128,0.798,0.075,958.0,958.0,949.15,2773975.0
